NAVN;ICAO;IATA;foh;moh;RULLEBANERETNING;KOORDINATER;
Bergen lufthavn, Flesland;ENBR;BGO;166;50;17/35;60.290779473268, 5.2218898428223;
Bardufoss lufthavn;ENDU;BDU;252;77;11/28;69.058189377078, 18.537761970361;
Arendal lufthavn, Gullknapp;ENGK;;415;126;15/23;58.518839611628, 8.7088922751831;
Andøya lufthavn, Andenes;ENAN;ANX;43;13;14/32,03/21;69.296107300235, 16.137866706482;
Alta lufthavn;ENAT;ALF;10;3;11/29;69.979089665609, 23.356996936584;
Berlevåg lufthavn;ENBV;BVG;43;13;06/24;70.871396842317, 29.032097762999;
Bjorli;ENBL*;;1910;582;12/30;62.235184853947, 8.2447835901734;
Bodø lufthavn;ENBO;BOO;43;13;07/25;67.269215969823, 14.365284319244;
Brønnøysund lufthavn, Brønnøysund;ENBN;BNN;25;8;04/22;65.458919734216, 12.213402797376;
Bømoen;ENBM;;300;91;09/27;60.638793239885, 6.5018034640015;
Bæverbru;ENBB;;1332;406;18/36;60.637398892338, 10.67718905092;
Båtsfjord lufthavn;ENBS;BJF;490;149;03/21;70.600168901602, 29.69250670192;
Dokka, Thomlevold;ENDO;;510;155;09/27;60.83368673413, 9.9150624420987;
Eggemoen;ENEG;;656;200;04/22;60.214439417645, 10.31864132141;
Elverum, Starmoen;ENSM;;710;217;15/33;60.876324586098, 11.675890868262;
Engeløy Flyplass, Elvik;ENEN;;10;3;05/23;67.967262447794, 14.993014984131;
Fagernes lufthavn, Leirin;ENFG;VDB;2697;822;15/33;61.009638466001, 9.2951881068848;
Farsund lufthavn;ENLI;FAN;29;9;14/32;58.100113384595, 6.6251850602661;
Florø Lufthamn;ENFL;FRO;37;11;07/25;61.582636973256, 5.0185341745606;
Folldal, Grimsmoen;ENGN;;2263;690;07/25;62.117029250645, 10.10917625585;
Frya;ENRI;;570;174;10/28;61.545377240625, 10.063067681355;
Frøya, Flatval;ENFA;;152;46;04/22;63.700250720101, 8.7585876685089;
Fyresdal;ENFY;;986;301;01/19;59.20152007794, 8.0875881301025;
Førde lufthamn, Bringeland;ENBL;FDE;1045;319;07/25;61.391510129805, 5.7596897735107;
Geilo, Dagali;ENDI;DLD;2618;789;08/26;60.416711233952, 8.5127006822418;
Hamar, Stafsberg;ENHA;HMR;729;222;15/33;60.81858655537, 11.067087355333;
Hammerfest lufthavn;ENHT;HFT;262;80;04/22;70.67956425247, 23.668308177522;
Harstad / Narvik lufthavn, Evenes;ENEV;EVE;85;26;17/35;68.490161462977, 16.678106025171;
Hasvik;ENHK;HAA;23;7;11/29;70.486297448431, 22.14152321687 ;
Hattfjelldal;ENHT*;;690;210;09/27;65.594755143987, 13.987015308568;
Haugesund lufthavn, Karmøy;ENHD;HAU;87;27;13/31;59.343966824647, 5.2112708844636;
Hokksund;ENHS;;30;10;10/28;59.760072907388, 9.9193672936522;
Honningsvåg lufthavn, Valan;ENHV;HVG;46;14;08/26;71.009678714958, 25.984219359255;
Jan Mayen, Jan Mayensfield;ENJA;ZXB;39;12;06/24;70.943592184827, -8.6535823449501;
Jarlberg;ENJB;;60;18;18/36;59.298023985883, 10.369976943091;
Kautokeino;ENKA;QKX;1165;355;01/19;69.040459981361, 23.034252828108;
Kirkenes lufthavn, Høybuktmoen;ENKR;KKN;284;87;06/24;69.725530821632, 29.892624579437;
Kjeller;ENKJ;;354;108;12/30;59.969397325887, 11.039285511578;
Klanten;ENKL;;2770;844;29/11;60.790995754734, 9.0493921062026;
Kristiansand lufthavn, Kjevik;ENCN;KRS;57;17;03/21;58.204348490896, 8.0853395822905;
Kristiansund lufthavn, Kvernberget;ENKB;KSU;205;62;07/25;63.112317727018, 7.8279676336797;
